carton_l_cm,carton_w_cm,carton_h_cm,volume_cm3,volume_cbm,actual_kg,volumetric_kg_div_6000,volumetric_kg_div_5000,volumetric_kg_div_4000,chargeable_kg_plain_freight,governed_by
30,20,10,6000,0.006,0.6,1,1.2,1.5,1,volume
35,25,13,11375,0.011,1.2,1.9,2.3,2.8,1.9,volume
35,30,15,15750,0.016,0.8,2.6,3.2,3.9,2.6,volume
45,35,15,23625,0.024,2,3.9,4.7,5.9,3.9,volume
40,30,25,30000,0.03,8,5,6,7.5,8,actual weight
45,35,30,47250,0.047,15,7.9,9.5,11.8,15,actual weight
55,40,26,57200,0.057,6.3,9.5,11.4,14.3,9.5,volume
58,40,25,58000,0.058,4,9.7,11.6,14.5,9.7,volume
50,40,40,80000,0.08,10,13.3,16,20,13.3,volume
65,40,35,91000,0.091,9,15.2,18.2,22.8,15.2,volume
60,40,40,96000,0.096,8,16,19.2,24,16,volume
60,45,40,108000,0.108,5.2,18,21.6,27,18,volume
120,65,15,117000,0.117,25,19.5,23.4,29.3,25,actual weight
70,65,60,273000,0.273,12,45.5,54.6,68.3,45.5,volume
210,90,80,1512000,1.512,60,252,302.4,378,252,volume
